Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes
sleep,2024-03-31 02:09,2024-03-31 08:29,6:20,,,,
sleep,2024-03-31 00:06,2024-03-31 01:47,1:41,,,,
feed,2024-03-30 23:45,,,Breast,,,
sleep,2024-03-30 21:23,2024-03-30 23:56,2:33,,,,
sleep,2024-03-30 18:31,2024-03-30 21:04,2:33,,,,
sleep,2024-03-30 17:26,2024-03-30 18:20,0:54,,,,
feed,2024-03-30 15:23,,,Bottle,bottle,5oz,
feed,2024-03-30 13:51,,,Bottle,bottle,4oz,
feed,2024-03-30 12:52,,,Breast,,,
sleep,2024-03-30 12:24,2024-03-30 13:34,1:10,,,,
sleep,2024-03-30 11:55,2024-03-30 13:38,1:43,,,,
sleep,2024-03-30 11:09,2024-03-30 12:20,1:11,,,,
sleep,2024-03-30 09:03,2024-03-30 09:53,0:50,,,,
meds,2024-03-30 08:41,2024-03-30 08:41,,1ml,Vitamin D,,
feed,2024-03-30 06:44,,,Formula,bottle,3oz,
feed,2024-03-30 05:35,,,Breast,,,
feed,2024-03-30 05:32,,,Bottle,bottle,3oz,
feed,2024-03-30 04:01,,,Formula,bottle,4oz,
sleep,2024-03-30 03:11,2024-03-30 07:32,4:21,,,,
feed,2024-03-30 02:08,,,Formula,bottle,5oz,
feed,2024-03-30 01:18,,,Formula,bottle,5oz,
sleep,2024-03-30 00:29,2024-03-30 02:58,2:29,,,,
sleep,2024-03-29 22:02,2024-03-30 00:12,2:10,,,,
feed,2024-03-29 21:03,,,Formula,bottle,4oz,
sleep,2024-03-29 19:08,2024-03-29 21:49,2:41,,,,
feed,2024-03-29 17:43,,,Bottle,bottle,5oz,
feed,2024-03-29 17:33,,,Bottle,bottle,6oz,
feed,2024-03-29 16:19,,,Bottle,bottle,8oz,
sleep,2024-03-29 15:29,2024-03-29 16:43,1:14,,,,
sleep,2024-03-29 15:26,2024-03-29 16:36,1:10,,,,
feed,2024-03-29 12:57,,,Formula,bottle,6oz,
feed,2024-03-29 12:12,,,Formula,bottle,2oz,
sleep,2024-03-29 11:21,2024-03-29 12:31,1:10,,,,
sleep,2024-03-29 09:44,2024-03-29 10:32,0:48,,,,
feed,2024-03-29 09:14,,,Formula,bottle,3oz,
feed,2024-03-29 08:37,,,Breast,,,
meds,2024-03-29 08:23,2024-03-29 08:23,,1ml,Vitamin D,,
sleep,2024-03-29 08:10,2024-03-29 09:57,1:47,,,,
feed,2024-03-29 03:40,,,Bottle,bottle,4oz,
feed,2024-03-29 01:40,,,Breast,,,
feed,2024-03-29 01:39,,,Formula,bottle,3oz,
sleep,2024-03-29 01:30,2024-03-29 07:41,6:11,,,,
feed,2024-03-29 00:36,,,Formula,bottle,8oz,
sleep,2024-03-28 23:07,2024-03-29 01:08,2:01,,,,
sleep,2024-03-28 20:34,2024-03-28 22:42,2:08,,,,
meds,2024-03-28 19:05,2024-03-28 19:05,,2.5ml,Gripe Water,,
sleep,2024-03-28 17:26,2024-03-28 18:59,1:33,,,,
sleep,2024-03-28 17:16,2024-03-28 17:49,0:33,,,,
feed,2024-03-28 12:55,,,Breast,,,
feed,2024-03-28 12:18,,,Breast,,,
sleep,2024-03-28 11:49,2024-03-28 13:40,1:51,,,,
feed,2024-03-28 11:40,,,Breast,,,
feed,2024-03-28 10:55,,,Breast,,,
feed,2024-03-28 10:55,,,Bottle,bottle,8oz,
feed,2024-03-28 09:23,,,Formula,bottle,5oz,
sleep,2024-03-28 08:41,2024-03-28 10:30,1:49,,,,
feed,2024-03-28 08:29,,,Bottle,bottle,5oz,
sleep,2024-03-28 07:37,2024-03-28 08:37,1:00,,,,
feed,2024-03-28 07:23,,,Bottle,bottle,3oz,
sleep,2024-03-28 04:44,2024-03-28 07:26,2:42,,,,
sleep,2024-03-28 01:37,2024-03-28 04:24,2:47,,,,
feed,2024-03-27 23:15,,,Formula,bottle,8oz,
sleep,2024-03-27 22:14,2024-03-28 01:08,2:54,,,,
feed,2024-03-27 21:50,,,Bottle,bottle,2oz,
sleep,2024-03-27 20:10,2024-03-27 21:59,1:49,,,,
feed,2024-03-27 18:23,,,Formula,bottle,5oz,
feed,2024-03-27 17:40,,,Formula,bottle,4oz,
sleep,2024-03-27 16:17,2024-03-27 17:51,1:34,,,,
feed,2024-03-27 13:28,,,Breast,,,
sleep,2024-03-27 12:54,2024-03-27 13:35,0:41,,,,
feed,2024-03-27 12:48,,,Bottle,bottle,8oz,
feed,2024-03-27 11:57,,,Bottle,bottle,5oz,
sleep,2024-03-27 11:40,2024-03-27 13:18,1:38,,,,
sleep,2024-03-27 10:40,2024-03-27 12:28,1:48,,,,
feed,2024-03-27 10:34,,,Bottle,bottle,6oz,
sleep,2024-03-27 09:16,2024-03-27 10:24,1:08,,,,
meds,2024-03-27 08:25,2024-03-27 08:25,,1ml,Vitamin D,,
feed,2024-03-27 05:25,,,Bottle,bottle,4oz,
sleep,2024-03-26 23:07,2024-03-27 06:19,7:12,,,,
feed,2024-03-26 22:08,,,Formula,bottle,5oz,
feed,2024-03-26 22:00,,,Breast,,,
sleep,2024-03-26 20:39,2024-03-26 22:50,2:11,,,,
feed,2024-03-26 18:47,,,Breast,,,
sleep,2024-03-26 18:33,2024-03-26 20:24,1:51,,,,
sleep,2024-03-26 16:40,2024-03-26 17:17,0:37,,,,
sleep,2024-03-26 16:22,2024-03-26 17:56,1:34,,,,
sleep,2024-03-26 15:43,2024-03-26 17:08,1:25,,,,
feed,2024-03-26 15:38,,,Breast,,,
feed,2024-03-26 15:09,,,Bottle,bottle,4oz,
feed,2024-03-26 13:49,,,Bottle,bottle,4oz,
sleep,2024-03-26 10:56,2024-03-26 11:42,0:46,,,,
sleep,2024-03-26 10:20,2024-03-26 11:13,0:53,,,,
sleep,2024-03-26 09:28,2024-03-26 11:13,1:45,,,,
meds,2024-03-26 08:42,2024-03-26 08:42,,1ml,Vitamin D,,
feed,2024-03-26 02:30,,,Breast,,,
feed,2024-03-26 02:26,,,Bottle,bottle,5oz,
feed,2024-03-26 01:39,,,Breast,,,
sleep,2024-03-25 23:46,2024-03-26 07:25,7:39,,,,
feed,2024-03-25 23:13,,,Bottle,bottle,8oz,
sleep,2024-03-25 21:01,2024-03-25 23:23,2:22,,,,
feed,2024-03-25 20:40,,,Bottle,bottle,2oz,
sleep,2024-03-25 18:04,2024-03-25 20:35,2:31,,,,
sleep,2024-03-25 17:23,2024-03-25 19:11,1:48,,,,
feed,2024-03-25 16:47,,,Bottle,bottle,4oz,
sleep,2024-03-25 15:01,2024-03-25 15:47,0:46,,,,
sleep,2024-03-25 13:35,2024-03-25 15:15,1:40,,,,
feed,2024-03-25 10:45,,,Formula,bottle,4oz,
feed,2024-03-25 10:28,,,Breast,,,
sleep,2024-03-25 10:15,2024-03-25 11:44,1:29,,,,
feed,2024-03-25 09:40,,,Bottle,bottle,3oz,
feed,2024-03-25 09:26,,,Breast,,,
feed,2024-03-25 07:09,,,Bottle,bottle,6oz,
feed,2024-03-25 05:27,,,Bottle,bottle,4oz,
sleep,2024-03-25 04:29,2024-03-25 06:45,2:16,,,,
feed,2024-03-25 01:42,,,Formula,bottle,6oz,
sleep,2024-03-25 01:37,2024-03-25 04:12,2:35,,,,
feed,2024-03-24 23:54,,,Bottle,bottle,4oz,
sleep,2024-03-24 23:24,2024-03-25 01:16,1:52,,,,
feed,2024-03-24 20:35,,,Bottle,bottle,2oz,
feed,2024-03-24 20:17,,,Bottle,bottle,3oz,
sleep,2024-03-24 19:54,2024-03-24 22:54,3:00,,,,
feed,2024-03-24 19:10,,,Bottle,bottle,8oz,
feed,2024-03-24 17:37,,,Breast,,,
sleep,2024-03-24 15:05,2024-03-24 16:12,1:07,,,,
feed,2024-03-24 13:43,,,Bottle,bottle,8oz,
sleep,2024-03-24 13:42,2024-03-24 15:21,1:39,,,,
feed,2024-03-24 13:06,,,Breast,,,
feed,2024-03-24 11:20,,,Breast,,,
sleep,2024-03-24 11:07,2024-03-24 12:47,1:40,,,,
sleep,2024-03-24 10:57,2024-03-24 11:35,0:38,,,,
sleep,2024-03-24 10:54,2024-03-24 12:54,2:00,,,,
feed,2024-03-24 10:06,,,Breast,,,
sleep,2024-03-24 09:28,2024-03-24 10:42,1:14,,,,
meds,2024-03-24 09:09,2024-03-24 09:09,,1ml,Vitamin D,,
feed,2024-03-24 04:12,,,Bottle,bottle,6oz,
sleep,2024-03-24 00:06,2024-03-24 07:45,7:39,,,,
feed,2024-03-23 21:38,,,Formula,bottle,2oz,
sleep,2024-03-23 20:59,2024-03-23 23:47,2:48,,,,
feed,2024-03-23 20:04,,,Bottle,bottle,6oz,
feed,2024-03-23 18:33,,,Formula,bottle,4oz,
feed,2024-03-23 18:29,,,Breast,,,
feed,2024-03-23 18:22,,,Bottle,bottle,3oz,
sleep,2024-03-23 18:16,2024-03-23 20:43,2:27,,,,
sleep,2024-03-23 17:08,2024-03-23 18:49,1:41,,,,
sleep,2024-03-23 16:23,2024-03-23 17:42,1:19,,,,
sleep,2024-03-23 14:20,2024-03-23 15:56,1:36,,,,
feed,2024-03-23 13:40,,,Bottle,bottle,4oz,
sleep,2024-03-23 12:15,2024-03-23 13:48,1:33,,,,
feed,2024-03-23 11:16,,,Formula,bottle,5oz,
feed,2024-03-23 09:46,,,Bottle,bottle,2oz,
meds,2024-03-23 09:43,2024-03-23 09:43,,1ml,Vitamin D,,
sleep,2024-03-23 09:01,2024-03-23 09:54,0:53,,,,
feed,2024-03-23 07:04,,,Bottle,bottle,2oz,
sleep,2024-03-23 04:23,2024-03-23 08:02,3:39,,,,
sleep,2024-03-23 01:45,2024-03-23 04:02,2:17,,,,
feed,2024-03-23 00:15,,,Bottle,bottle,5oz,
sleep,2024-03-22 22:25,2024-03-23 01:21,2:56,,,,
feed,2024-03-22 21:22,,,Breast,,,
sleep,2024-03-22 19:24,2024-03-22 22:11,2:47,,,,
sleep,2024-03-22 17:43,2024-03-22 18:59,1:16,,,,
sleep,2024-03-22 16:51,2024-03-22 18:43,1:52,,,,
feed,2024-03-22 16:46,,,Breast,,,
sleep,2024-03-22 15:02,2024-03-22 16:02,1:00,,,,
feed,2024-03-22 14:58,,,Bottle,bottle,2oz,
feed,2024-03-22 13:06,,,Formula,bottle,3oz,
feed,2024-03-22 12:03,,,Formula,bottle,8oz,
meds,2024-03-22 11:53,2024-03-22 11:53,,2.5ml,Gas Relief Drops,,
sleep,2024-03-22 10:54,2024-03-22 11:32,0:38,,,,
feed,2024-03-22 10:38,,,Bottle,bottle,4oz,
meds,2024-03-22 10:05,2024-03-22 10:05,,1ml,Vitamin D,,
sleep,2024-03-22 10:01,2024-03-22 10:47,0:46,,,,
feed,2024-03-22 07:43,,,Formula,bottle,2oz,
feed,2024-03-22 05:50,,,Bottle,bottle,4oz,
feed,2024-03-22 05:36,,,Bottle,bottle,3oz,
feed,2024-03-22 05:31,,,Bottle,bottle,8oz,
sleep,2024-03-22 04:49,2024-03-22 07:39,2:50,,,,
feed,2024-03-22 02:59,,,Formula,bottle,4oz,
sleep,2024-03-22 02:40,2024-03-22 04:19,1:39,,,,
feed,2024-03-22 00:45,,,Breast,,,
sleep,2024-03-21 23:38,2024-03-22 02:29,2:51,,,,
feed,2024-03-21 23:22,,,Formula,bottle,3oz,
feed,2024-03-21 21:58,,,Formula,bottle,2oz,
sleep,2024-03-21 20:55,2024-03-21 23:20,2:25,,,,
feed,2024-03-21 20:52,,,Formula,bottle,5oz,
feed,2024-03-21 18:46,,,Formula,bottle,3oz,
feed,2024-03-21 18:00,,,Formula,bottle,2oz,
feed,2024-03-21 17:15,,,Formula,bottle,5oz,
sleep,2024-03-21 15:38,2024-03-21 16:13,0:35,,,,
sleep,2024-03-21 14:10,2024-03-21 15:37,1:27,,,,
sleep,2024-03-21 13:42,2024-03-21 14:56,1:14,,,,
feed,2024-03-21 13:22,,,Bottle,bottle,4oz,
sleep,2024-03-21 12:19,2024-03-21 13:45,1:26,,,,
sleep,2024-03-21 09:05,2024-03-21 11:03,1:58,,,,
feed,2024-03-21 08:42,,,Breast,,,
feed,2024-03-21 06:44,,,Breast,,,
feed,2024-03-21 06:30,,,Bottle,bottle,5oz,
feed,2024-03-21 05:41,,,Bottle,bottle,4oz,
sleep,2024-03-21 04:07,2024-03-21 06:46,2:39,,,,
sleep,2024-03-21 01:47,2024-03-21 03:40,1:53,,,,
feed,2024-03-21 01:08,,,Formula,bottle,5oz,
sleep,2024-03-20 22:53,2024-03-21 01:18,2:25,,,,
feed,2024-03-20 22:37,,,Formula,bottle,5oz,
feed,2024-03-20 22:26,,,Bottle,bottle,3oz,
sleep,2024-03-20 20:17,2024-03-20 22:41,2:24,,,,
feed,2024-03-20 20:00,,,Bottle,bottle,3oz,
sleep,2024-03-20 15:57,2024-03-20 17:14,1:17,,,,
sleep,2024-03-20 14:47,2024-03-20 16:20,1:33,,,,
sleep,2024-03-20 14:21,2024-03-20 16:19,1:58,,,,
sleep,2024-03-20 13:27,2024-03-20 15:00,1:33,,,,
feed,2024-03-20 13:19,,,Formula,bottle,8oz,
feed,2024-03-20 10:28,,,Breast,,,
sleep,2024-03-20 09:51,2024-03-20 10:44,0:53,,,,
feed,2024-03-20 08:12,,,Breast,,,
meds,2024-03-20 08:10,2024-03-20 08:10,,1ml,Vitamin D,,
feed,2024-03-20 04:59,,,Bottle,bottle,6oz,
sleep,2024-03-20 04:11,2024-03-20 07:02,2:51,,,,
feed,2024-03-20 03:10,,,Bottle,bottle,2oz,
sleep,2024-03-20 02:05,2024-03-20 03:41,1:36,,,,
feed,2024-03-20 00:05,,,Breast,,,
sleep,2024-03-19 23:38,2024-03-20 01:44,2:06,,,,
sleep,2024-03-19 20:30,2024-03-19 23:22,2:52,,,,
meds,2024-03-19 19:35,2024-03-19 19:35,,2.5ml,Gas Relief Drops,,
feed,2024-03-19 17:50,,,Breast,,,
sleep,2024-03-19 15:40,2024-03-19 17:00,1:20,,,,
feed,2024-03-19 15:07,,,Formula,bottle,4oz,
sleep,2024-03-19 15:02,2024-03-19 16:37,1:35,,,,
feed,2024-03-19 15:02,,,Bottle,bottle,4oz,
feed,2024-03-19 12:54,,,Formula,bottle,5oz,
feed,2024-03-19 12:34,,,Formula,bottle,3oz,
sleep,2024-03-19 12:12,2024-03-19 13:21,1:09,,,,
feed,2024-03-19 11:31,,,Bottle,bottle,3oz,
sleep,2024-03-19 10:51,2024-03-19 12:01,1:10,,,,
sleep,2024-03-19 10:04,2024-03-19 10:39,0:35,,,,
feed,2024-03-19 10:02,,,Bottle,bottle,3oz,
feed,2024-03-19 09:13,,,Formula,bottle,5oz,
sleep,2024-03-19 08:50,2024-03-19 09:45,0:55,,,,
feed,2024-03-19 06:40,,,Bottle,bottle,4oz,
sleep,2024-03-19 04:50,2024-03-19 07:08,2:18,,,,
feed,2024-03-19 03:32,,,Breast,,,
feed,2024-03-19 01:46,,,Bottle,bottle,5oz,
sleep,2024-03-19 01:43,2024-03-19 04:35,2:52,,,,
feed,2024-03-19 01:10,,,Formula,bottle,5oz,
sleep,2024-03-18 22:44,2024-03-19 01:23,2:39,,,,
feed,2024-03-18 22:37,,,Bottle,bottle,4oz,
sleep,2024-03-18 20:48,2024-03-18 22:23,1:35,,,,
feed,2024-03-18 19:48,,,Breast,,,
feed,2024-03-18 17:28,,,Bottle,bottle,5oz,
feed,2024-03-18 16:29,,,Formula,bottle,3oz,
sleep,2024-03-18 14:23,2024-03-18 16:07,1:44,,,,
meds,2024-03-18 13:58,2024-03-18 13:58,,2.5ml,Gas Relief Drops,,
feed,2024-03-18 13:41,,,Breast,,,
feed,2024-03-18 13:16,,,Bottle,bottle,8oz,
sleep,2024-03-18 12:47,2024-03-18 13:30,0:43,,,,
feed,2024-03-18 09:25,,,Formula,bottle,2oz,
sleep,2024-03-18 09:22,2024-03-18 11:12,1:50,,,,
sleep,2024-03-18 08:40,2024-03-18 10:34,1:54,,,,
feed,2024-03-18 08:33,,,Formula,bottle,2oz,
sleep,2024-03-18 08:22,2024-03-18 09:22,1:00,,,,
meds,2024-03-18 08:08,2024-03-18 08:08,,1ml,Vitamin D,,
feed,2024-03-18 04:16,,,Bottle,bottle,5oz,
feed,2024-03-18 03:43,,,Formula,bottle,4oz,
feed,2024-03-18 02:20,,,Breast,,,
sleep,2024-03-18 00:54,2024-03-18 08:34,7:40,,,,
feed,2024-03-18 00:41,,,Breast,,,
feed,2024-03-17 23:20,,,Bottle,bottle,3oz,
sleep,2024-03-17 22:04,2024-03-18 00:44,2:40,,,,
feed,2024-03-17 21:24,,,Breast,,,
sleep,2024-03-17 19:04,2024-03-17 21:38,2:34,,,,
feed,2024-03-17 18:58,,,Formula,bottle,4oz,
sleep,2024-03-17 17:22,2024-03-17 18:59,1:37,,,,
sleep,2024-03-17 16:36,2024-03-17 17:16,0:40,,,,
feed,2024-03-17 14:23,,,Bottle,bottle,8oz,
sleep,2024-03-17 14:00,2024-03-17 15:55,1:55,,,,
feed,2024-03-17 12:08,,,Breast,,,
sleep,2024-03-17 11:45,2024-03-17 13:40,1:55,,,,
sleep,2024-03-17 11:36,2024-03-17 12:29,0:53,,,,
sleep,2024-03-17 10:18,2024-03-17 11:41,1:23,,,,
feed,2024-03-17 09:48,,,Breast,,,
feed,2024-03-17 07:54,,,Breast,,,
feed,2024-03-17 07:20,,,Breast,,,
feed,2024-03-17 04:33,,,Bottle,bottle,8oz,
feed,2024-03-17 03:39,,,Breast,,,
feed,2024-03-17 02:32,,,Formula,bottle,3oz,
sleep,2024-03-17 02:21,2024-03-17 07:40,5:19,,,,
feed,2024-03-17 01:28,,,Formula,bottle,2oz,
sleep,2024-03-16 23:19,2024-03-17 01:52,2:33,,,,
sleep,2024-03-16 21:28,2024-03-16 23:06,1:38,,,,
feed,2024-03-16 19:19,,,Formula,bottle,2oz,
sleep,2024-03-16 18:15,2024-03-16 21:04,2:49,,,,
sleep,2024-03-16 17:33,2024-03-16 18:18,0:45,,,,
feed,2024-03-16 15:32,,,Breast,,,
feed,2024-03-16 14:20,,,Bottle,bottle,2oz,
sleep,2024-03-16 14:07,2024-03-16 15:15,1:08,,,,
feed,2024-03-16 13:03,,,Bottle,bottle,4oz,
feed,2024-03-16 12:53,,,Bottle,bottle,8oz,
feed,2024-03-16 12:05,,,Formula,bottle,8oz,
sleep,2024-03-16 11:53,2024-03-16 12:53,1:00,,,,
feed,2024-03-16 10:59,,,Breast,,,
sleep,2024-03-16 10:35,2024-03-16 11:41,1:06,,,,
feed,2024-03-16 09:46,,,Breast,,,
meds,2024-03-16 08:43,2024-03-16 08:43,,1ml,Vitamin D,,
feed,2024-03-16 05:37,,,Formula,bottle,2oz,
sleep,2024-03-16 03:47,2024-03-16 06:48,3:01,,,,
sleep,2024-03-16 02:05,2024-03-16 03:35,1:30,,,,
feed,2024-03-16 01:53,,,Bottle,bottle,5oz,
sleep,2024-03-15 23:09,2024-03-16 01:36,2:27,,,,
sleep,2024-03-15 19:44,2024-03-15 22:44,3:00,,,,
feed,2024-03-15 17:34,,,Formula,bottle,4oz,
feed,2024-03-15 15:40,,,Formula,bottle,4oz,
feed,2024-03-15 14:51,,,Formula,bottle,8oz,
sleep,2024-03-15 13:59,2024-03-15 15:05,1:06,,,,
sleep,2024-03-15 13:50,2024-03-15 14:24,0:34,,,,
feed,2024-03-15 13:20,,,Breast,,,
feed,2024-03-15 12:41,,,Bottle,bottle,3oz,
sleep,2024-03-15 11:01,2024-03-15 11:48,0:47,,,,
sleep,2024-03-15 09:53,2024-03-15 10:41,0:48,,,,
feed,2024-03-15 08:51,,,Bottle,bottle,4oz,
feed,2024-03-15 08:37,,,Formula,bottle,8oz,
feed,2024-03-15 08:09,,,Breast,,,
feed,2024-03-15 06:27,,,Formula,bottle,5oz,
feed,2024-03-15 05:57,,,Bottle,bottle,4oz,
feed,2024-03-15 03:40,,,Formula,bottle,5oz,
sleep,2024-03-15 03:14,2024-03-15 06:26,3:12,,,,
sleep,2024-03-15 00:52,2024-03-15 02:52,2:00,,,,
feed,2024-03-15 00:17,,,Bottle,bottle,2oz,
feed,2024-03-14 23:55,,,Formula,bottle,5oz,
feed,2024-03-14 22:12,,,Bottle,bottle,4oz,
sleep,2024-03-14 21:57,2024-03-15 00:31,2:34,,,,
feed,2024-03-14 20:13,,,Bottle,bottle,5oz,
sleep,2024-03-14 19:59,2024-03-14 21:35,1:36,,,,
feed,2024-03-14 17:54,,,Formula,bottle,4oz,
sleep,2024-03-14 16:09,2024-03-14 17:36,1:27,,,,
sleep,2024-03-14 15:57,2024-03-14 16:55,0:58,,,,
feed,2024-03-14 15:34,,,Formula,bottle,8oz,
feed,2024-03-14 15:15,,,Formula,bottle,5oz,
sleep,2024-03-14 10:17,2024-03-14 10:58,0:41,,,,
sleep,2024-03-14 09:48,2024-03-14 11:13,1:25,,,,
meds,2024-03-14 08:38,2024-03-14 08:38,,1ml,Vitamin D,,
feed,2024-03-14 08:32,,,Breast,,,
feed,2024-03-14 06:38,,,Breast,,,
sleep,2024-03-14 04:18,2024-03-14 07:03,2:45,,,,
sleep,2024-03-14 02:09,2024-03-14 03:52,1:43,,,,
feed,2024-03-14 02:03,,,Bottle,bottle,5oz,
sleep,2024-03-13 23:25,2024-03-14 01:42,2:17,,,,
feed,2024-03-13 22:36,,,Formula,bottle,5oz,
sleep,2024-03-13 20:08,2024-03-13 23:00,2:52,,,,
feed,2024-03-13 19:19,,,Breast,,,
sleep,2024-03-13 17:28,2024-03-13 18:23,0:55,,,,
feed,2024-03-13 17:03,,,Formula,bottle,6oz,
feed,2024-03-13 15:54,,,Breast,,,
sleep,2024-03-13 15:49,2024-03-13 16:39,0:50,,,,
sleep,2024-03-13 14:32,2024-03-13 15:55,1:23,,,,
sleep,2024-03-13 12:49,2024-03-13 14:26,1:37,,,,
feed,2024-03-13 11:51,,,Breast,,,
feed,2024-03-13 08:59,,,Breast,,,
feed,2024-03-13 08:30,,,Formula,bottle,8oz,
meds,2024-03-13 08:20,2024-03-13 08:20,,1ml,Vitamin D,,
feed,2024-03-13 04:13,,,Breast,,,
sleep,2024-03-13 03:52,2024-03-13 07:48,3:56,,,,
feed,2024-03-13 01:53,,,Formula,bottle,4oz,
