Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes
feed,2024-03-13 01:20,,,Formula,bottle,6oz,
sleep,2024-03-13 01:18,2024-03-13 03:27,2:09,,,,
sleep,2024-03-12 22:23,2024-03-13 01:01,2:38,,,,
feed,2024-03-12 22:03,,,Bottle,bottle,8oz,
feed,2024-03-12 21:19,,,Formula,bottle,8oz,
sleep,2024-03-12 19:39,2024-03-12 22:06,2:27,,,,
feed,2024-03-12 19:00,,,Breast,,,
sleep,2024-03-12 17:51,2024-03-12 18:51,1:00,,,,
sleep,2024-03-12 17:24,2024-03-12 19:20,1:56,,,,
sleep,2024-03-12 17:08,2024-03-12 18:24,1:16,,,,
feed,2024-03-12 14:36,,,Breast,,,
feed,2024-03-12 12:05,,,Bottle,bottle,6oz,
feed,2024-03-12 11:53,,,Bottle,bottle,2oz,
sleep,2024-03-12 10:53,2024-03-12 12:15,1:22,,,,
sleep,2024-03-12 10:46,2024-03-12 11:21,0:35,,,,
sleep,2024-03-12 10:10,2024-03-12 11:36,1:26,,,,
feed,2024-03-12 09:43,,,Bottle,bottle,8oz,
feed,2024-03-12 08:19,,,Bottle,bottle,2oz,
meds,2024-03-12 08:12,2024-03-12 08:12,,1ml,Vitamin D,,
sleep,2024-03-12 05:22,2024-03-12 06:08,0:46,,,,
feed,2024-03-12 02:47,,,Breast,,,
sleep,2024-03-12 02:34,2024-03-12 05:11,2:37,,,,
feed,2024-03-12 00:03,,,Bottle,bottle,2oz,
sleep,2024-03-11 23:33,2024-03-12 02:07,2:34,,,,
sleep,2024-03-11 21:13,2024-03-11 23:20,2:07,,,,
feed,2024-03-11 19:34,,,Formula,bottle,3oz,
sleep,2024-03-11 19:12,2024-03-11 21:01,1:49,,,,
feed,2024-03-11 16:52,,,Bottle,bottle,6oz,
sleep,2024-03-11 16:05,2024-03-11 17:18,1:13,,,,
feed,2024-03-11 15:44,,,Bottle,bottle,3oz,
sleep,2024-03-11 14:32,2024-03-11 15:29,0:57,,,,
sleep,2024-03-11 13:52,2024-03-11 14:45,0:53,,,,
feed,2024-03-11 13:25,,,Bottle,bottle,8oz,
feed,2024-03-11 13:06,,,Bottle,bottle,2oz,
sleep,2024-03-11 13:01,2024-03-11 14:10,1:09,,,,
sleep,2024-03-11 10:42,2024-03-11 11:58,1:16,,,,
meds,2024-03-11 08:07,2024-03-11 08:07,,1ml,Vitamin D,,
sleep,2024-03-11 07:16,2024-03-11 07:19,0:03,,,,
feed,2024-03-11 06:59,,,Formula,bottle,4oz,
feed,2024-03-11 05:31,,,Bottle,bottle,6oz,
sleep,2024-03-11 04:51,2024-03-11 06:49,1:58,,,,
feed,2024-03-11 04:35,,,Formula,bottle,4oz,
feed,2024-03-11 02:20,,,Formula,bottle,4oz,
feed,2024-03-11 02:10,,,Bottle,bottle,3oz,
sleep,2024-03-11 01:39,2024-03-11 04:39,3:00,,,,
sleep,2024-03-10 23:24,2024-03-11 01:10,1:46,,,,
sleep,2024-03-10 20:09,2024-03-10 23:02,2:53,,,,
feed,2024-03-10 17:22,,,Bottle,bottle,8oz,
sleep,2024-03-10 16:43,2024-03-10 18:27,1:44,,,,
sleep,2024-03-10 14:18,2024-03-10 14:58,0:40,,,,
feed,2024-03-10 14:15,,,Formula,bottle,2oz,
sleep,2024-03-10 13:06,2024-03-10 14:18,1:12,,,,
sleep,2024-03-10 13:04,2024-03-10 13:53,0:49,,,,
sleep,2024-03-10 12:46,2024-03-10 14:33,1:47,,,,
meds,2024-03-10 09:18,2024-03-10 09:18,,1ml,Vitamin D,,
feed,2024-03-10 09:09,,,Breast,,,
sleep,2024-03-10 08:50,2024-03-10 10:44,1:54,,,,
feed,2024-03-10 06:59,,,Formula,bottle,2oz,
feed,2024-03-10 05:47,,,Bottle,bottle,6oz,
feed,2024-03-10 05:28,,,Formula,bottle,4oz,
sleep,2024-03-10 04:20,2024-03-10 08:10,3:50,,,,
feed,2024-03-10 03:08,,,Breast,,,
sleep,2024-03-10 01:38,2024-03-10 04:00,2:22,,,,
feed,2024-03-10 01:37,,,Formula,bottle,2oz,
sleep,2024-03-09 23:10,2024-03-10 01:16,2:06,,,,
feed,2024-03-09 22:26,,,Bottle,bottle,5oz,
sleep,2024-03-09 20:33,2024-03-09 22:49,2:16,,,,
feed,2024-03-09 20:22,,,Bottle,bottle,8oz,
feed,2024-03-09 19:14,,,Bottle,bottle,8oz,
feed,2024-03-09 18:25,,,Breast,,,
feed,2024-03-09 17:24,,,Bottle,bottle,5oz,
feed,2024-03-09 15:10,,,Bottle,bottle,8oz,
sleep,2024-03-09 13:45,2024-03-09 15:11,1:26,,,,
feed,2024-03-09 12:57,,,Formula,bottle,6oz,
meds,2024-03-09 10:22,2024-03-09 10:22,,2.5ml,Gripe Water,,
meds,2024-03-09 10:16,2024-03-09 10:16,,1ml,Vitamin D,,
sleep,2024-03-09 10:02,2024-03-09 11:28,1:26,,,,
sleep,2024-03-09 09:51,2024-03-09 11:51,2:00,,,,
sleep,2024-03-09 09:32,2024-03-09 10:33,1:01,,,,
feed,2024-03-09 03:19,,,Breast,,,
sleep,2024-03-09 02:41,2024-03-09 06:20,3:39,,,,
feed,2024-03-08 23:57,,,Breast,,,
sleep,2024-03-08 23:53,2024-03-09 02:27,2:34,,,,
sleep,2024-03-08 20:41,2024-03-08 23:28,2:47,,,,
feed,2024-03-08 20:30,,,Bottle,bottle,6oz,
feed,2024-03-08 18:29,,,Bottle,bottle,5oz,
sleep,2024-03-08 17:32,2024-03-08 18:59,1:27,,,,
feed,2024-03-08 17:05,,,Bottle,bottle,2oz,
feed,2024-03-08 16:37,,,Bottle,bottle,8oz,
sleep,2024-03-08 15:02,2024-03-08 15:37,0:35,,,,
meds,2024-03-08 14:41,2024-03-08 14:41,,5ml,Tylenol,,
sleep,2024-03-08 12:29,2024-03-08 14:09,1:40,,,,
sleep,2024-03-08 12:04,2024-03-08 13:48,1:44,,,,
feed,2024-03-08 10:17,,,Breast,,,
meds,2024-03-08 10:04,2024-03-08 10:04,,1ml,Vitamin D,,
meds,2024-03-08 09:41,2024-03-08 09:41,,2.5ml,Gripe Water,,
sleep,2024-03-08 09:39,2024-03-08 11:08,1:29,,,,
sleep,2024-03-08 08:23,2024-03-08 09:42,1:19,,,,
feed,2024-03-08 08:06,,,Bottle,bottle,6oz,
feed,2024-03-08 05:46,,,Formula,bottle,2oz,
sleep,2024-03-08 05:43,2024-03-08 07:04,1:21,,,,
sleep,2024-03-08 03:45,2024-03-08 05:22,1:37,,,,
sleep,2024-03-08 01:12,2024-03-08 03:17,2:05,,,,
feed,2024-03-07 23:41,,,Formula,bottle,3oz,
sleep,2024-03-07 22:03,2024-03-08 00:53,2:50,,,,
feed,2024-03-07 21:20,,,Breast,,,
feed,2024-03-07 19:14,,,Formula,bottle,6oz,
sleep,2024-03-07 19:09,2024-03-07 21:39,2:30,,,,
feed,2024-03-07 19:04,,,Bottle,bottle,6oz,
sleep,2024-03-07 17:48,2024-03-07 19:38,1:50,,,,
sleep,2024-03-07 17:41,2024-03-07 18:52,1:11,,,,
sleep,2024-03-07 17:28,2024-03-07 19:17,1:49,,,,
feed,2024-03-07 17:19,,,Breast,,,
sleep,2024-03-07 15:29,2024-03-07 17:20,1:51,,,,
feed,2024-03-07 11:40,,,Formula,bottle,4oz,
feed,2024-03-07 09:37,,,Bottle,bottle,3oz,
meds,2024-03-07 08:16,2024-03-07 08:16,,1ml,Vitamin D,,
feed,2024-03-07 07:43,,,Breast,,,
feed,2024-03-07 04:36,,,Bottle,bottle,6oz,
sleep,2024-03-07 02:22,2024-03-07 06:16,3:54,,,,
feed,2024-03-07 01:46,,,Formula,bottle,2oz,
sleep,2024-03-06 23:17,2024-03-07 02:10,2:53,,,,
sleep,2024-03-06 20:16,2024-03-06 23:03,2:47,,,,
sleep,2024-03-06 18:06,2024-03-06 20:01,1:55,,,,
sleep,2024-03-06 16:40,2024-03-06 17:28,0:48,,,,
feed,2024-03-06 16:13,,,Bottle,bottle,3oz,
sleep,2024-03-06 16:12,2024-03-06 18:04,1:52,,,,
feed,2024-03-06 15:38,,,Bottle,bottle,6oz,
feed,2024-03-06 12:39,,,Bottle,bottle,8oz,
feed,2024-03-06 12:23,,,Formula,bottle,2oz,
feed,2024-03-06 11:54,,,Breast,,,
meds,2024-03-06 10:57,2024-03-06 10:57,,1ml,Vitamin D,,
feed,2024-03-06 10:23,,,Breast,,,
sleep,2024-03-06 10:04,2024-03-06 11:18,1:14,,,,
sleep,2024-03-06 09:33,2024-03-06 10:47,1:14,,,,
sleep,2024-03-06 06:03,2024-03-06 06:15,0:12,,,,
feed,2024-03-06 05:37,,,Bottle,bottle,8oz,
feed,2024-03-06 05:14,,,Formula,bottle,8oz,
feed,2024-03-06 05:05,,,Bottle,bottle,5oz,
sleep,2024-03-06 03:36,2024-03-06 05:43,2:07,,,,
feed,2024-03-06 02:59,,,Breast,,,
sleep,2024-03-06 01:34,2024-03-06 03:14,1:40,,,,
sleep,2024-03-05 22:47,2024-03-06 01:08,2:21,,,,
sleep,2024-03-05 19:54,2024-03-05 22:19,2:25,,,,
feed,2024-03-05 16:33,,,Bottle,bottle,2oz,
sleep,2024-03-05 14:45,2024-03-05 15:26,0:41,,,,
sleep,2024-03-05 14:18,2024-03-05 15:34,1:16,,,,
feed,2024-03-05 13:00,,,Bottle,bottle,5oz,
feed,2024-03-05 11:41,,,Breast,,,
feed,2024-03-05 11:26,,,Breast,,,
sleep,2024-03-05 10:51,2024-03-05 12:49,1:58,,,,
feed,2024-03-05 09:27,,,Bottle,bottle,3oz,
sleep,2024-03-05 09:25,2024-03-05 10:53,1:28,,,,
sleep,2024-03-05 08:20,2024-03-05 10:09,1:49,,,,
feed,2024-03-05 06:43,,,Bottle,bottle,4oz,
feed,2024-03-05 05:13,,,Formula,bottle,2oz,
feed,2024-03-05 01:42,,,Bottle,bottle,6oz,
sleep,2024-03-05 01:20,2024-03-05 07:01,5:41,,,,
feed,2024-03-05 00:53,,,Formula,bottle,2oz,
sleep,2024-03-04 22:42,2024-03-05 00:52,2:10,,,,
sleep,2024-03-04 20:02,2024-03-04 22:30,2:28,,,,
feed,2024-03-04 16:52,,,Bottle,bottle,4oz,
sleep,2024-03-04 16:45,2024-03-04 18:05,1:20,,,,
feed,2024-03-04 15:12,,,Formula,bottle,3oz,
feed,2024-03-04 14:48,,,Formula,bottle,3oz,
feed,2024-03-04 14:44,,,Bottle,bottle,3oz,
sleep,2024-03-04 14:11,2024-03-04 14:50,0:39,,,,
meds,2024-03-04 12:04,2024-03-04 12:04,,5ml,Tylenol,,
sleep,2024-03-04 11:32,2024-03-04 12:47,1:15,,,,
feed,2024-03-04 10:32,,,Bottle,bottle,5oz,
sleep,2024-03-04 10:24,2024-03-04 12:19,1:55,,,,
meds,2024-03-04 09:33,2024-03-04 09:33,,1ml,Vitamin D,,
sleep,2024-03-04 08:31,2024-03-04 10:12,1:41,,,,
feed,2024-03-04 07:27,,,Breast,,,
feed,2024-03-04 07:26,,,Bottle,bottle,5oz,
feed,2024-03-04 03:49,,,Bottle,bottle,2oz,
feed,2024-03-03 22:58,,,Breast,,,
sleep,2024-03-03 22:32,2024-03-04 06:19,7:47,,,,
feed,2024-03-03 20:26,,,Bottle,bottle,5oz,
sleep,2024-03-03 20:11,2024-03-03 22:13,2:02,,,,
feed,2024-03-03 18:35,,,Breast,,,
feed,2024-03-03 18:11,,,Breast,,,
sleep,2024-03-03 18:00,2024-03-03 19:57,1:57,,,,
feed,2024-03-03 17:56,,,Breast,,,
feed,2024-03-03 17:44,,,Bottle,bottle,3oz,
sleep,2024-03-03 17:31,2024-03-03 19:17,1:46,,,,
sleep,2024-03-03 16:42,2024-03-03 18:02,1:20,,,,
feed,2024-03-03 16:14,,,Formula,bottle,3oz,
sleep,2024-03-03 16:07,2024-03-03 17:05,0:58,,,,
feed,2024-03-03 13:52,,,Breast,,,
feed,2024-03-03 13:29,,,Bottle,bottle,4oz,
sleep,2024-03-03 13:27,2024-03-03 14:02,0:35,,,,
feed,2024-03-03 12:21,,,Breast,,,
sleep,2024-03-03 09:18,2024-03-03 10:27,1:09,,,,
meds,2024-03-03 08:58,2024-03-03 08:58,,1ml,Vitamin D,,
feed,2024-03-03 08:25,,,Bottle,bottle,5oz,
sleep,2024-03-03 05:12,2024-03-03 07:28,2:16,,,,
feed,2024-03-03 03:25,,,Bottle,bottle,4oz,
sleep,2024-03-03 02:23,2024-03-03 04:49,2:26,,,,
sleep,2024-03-02 23:22,2024-03-03 01:54,2:32,,,,
feed,2024-03-02 23:12,,,Bottle,bottle,3oz,
feed,2024-03-02 22:09,,,Formula,bottle,5oz,
feed,2024-03-02 21:53,,,Formula,bottle,6oz,
feed,2024-03-02 21:15,,,Breast,,,
sleep,2024-03-02 20:05,2024-03-02 22:59,2:54,,,,
sleep,2024-03-02 17:38,2024-03-02 18:14,0:36,,,,
feed,2024-03-02 16:57,,,Breast,,,
sleep,2024-03-02 13:49,2024-03-02 15:38,1:49,,,,
sleep,2024-03-02 12:46,2024-03-02 13:36,0:50,,,,
feed,2024-03-02 11:28,,,Breast,,,
meds,2024-03-02 10:34,2024-03-02 10:34,,1ml,Vitamin D,,
sleep,2024-03-02 10:23,2024-03-02 11:12,0:49,,,,
feed,2024-03-02 10:02,,,Formula,bottle,6oz,
sleep,2024-03-02 09:56,2024-03-02 10:32,0:36,,,,
feed,2024-03-02 05:42,,,Formula,bottle,3oz,
feed,2024-03-02 04:55,,,Breast,,,
sleep,2024-03-02 02:14,2024-03-02 06:05,3:51,,,,
sleep,2024-03-01 23:33,2024-03-02 01:51,2:18,,,,
feed,2024-03-01 23:21,,,Breast,,,
feed,2024-03-01 21:58,,,Formula,bottle,8oz,
sleep,2024-03-01 20:40,2024-03-01 23:17,2:37,,,,
feed,2024-03-01 19:09,,,Breast,,,
sleep,2024-03-01 17:59,2024-03-01 18:47,0:48,,,,
sleep,2024-03-01 13:22,2024-03-01 14:00,0:38,,,,
feed,2024-03-01 13:12,,,Bottle,bottle,2oz,
sleep,2024-03-01 12:58,2024-03-01 14:19,1:21,,,,
feed,2024-03-01 12:44,,,Bottle,bottle,3oz,
sleep,2024-03-01 12:01,2024-03-01 13:55,1:54,,,,
sleep,2024-03-01 10:17,2024-03-01 11:59,1:42,,,,
feed,2024-03-01 08:22,,,Bottle,bottle,2oz,
sleep,2024-03-01 08:11,2024-03-01 08:59,0:48,,,,
feed,2024-03-01 08:09,,,Breast,,,
feed,2024-03-01 05:21,,,Bottle,bottle,2oz,
sleep,2024-03-01 02:42,2024-03-01 07:54,5:12,,,,
feed,2024-03-01 01:10,,,Formula,bottle,5oz,
sleep,2024-02-29 23:24,2024-03-01 02:12,2:48,,,,
feed,2024-02-29 20:34,,,Bottle,bottle,3oz,
sleep,2024-02-29 20:14,2024-02-29 22:55,2:41,,,,
feed,2024-02-29 19:58,,,Bottle,bottle,6oz,
feed,2024-02-29 19:54,,,Formula,bottle,2oz,
feed,2024-02-29 19:37,,,Bottle,bottle,8oz,
feed,2024-02-29 18:32,,,Breast,,,
sleep,2024-02-29 16:13,2024-02-29 17:18,1:05,,,,
feed,2024-02-29 16:02,,,Formula,bottle,6oz,
sleep,2024-02-29 15:14,2024-02-29 15:58,0:44,,,,
sleep,2024-02-29 12:38,2024-02-29 13:55,1:17,,,,
feed,2024-02-29 12:23,,,Breast,,,
sleep,2024-02-29 12:22,2024-02-29 14:03,1:41,,,,
sleep,2024-02-29 10:42,2024-02-29 11:56,1:14,,,,
meds,2024-02-29 10:14,2024-02-29 10:14,,1ml,Vitamin D,,
sleep,2024-02-29 09:36,2024-02-29 10:19,0:43,,,,
meds,2024-02-29 09:26,2024-02-29 09:26,,2.5ml,Gripe Water,,
feed,2024-02-29 05:50,,,Breast,,,
sleep,2024-02-29 02:22,2024-02-29 08:07,5:45,,,,
feed,2024-02-28 23:59,,,Breast,,,
sleep,2024-02-28 23:04,2024-02-29 01:59,2:55,,,,
feed,2024-02-28 22:26,,,Breast,,,
sleep,2024-02-28 20:21,2024-02-28 22:43,2:22,,,,
feed,2024-02-28 18:45,,,Formula,bottle,8oz,
feed,2024-02-28 16:19,,,Bottle,bottle,3oz,
sleep,2024-02-28 15:04,2024-02-28 16:45,1:41,,,,
sleep,2024-02-28 14:06,2024-02-28 15:51,1:45,,,,
sleep,2024-02-28 13:51,2024-02-28 14:28,0:37,,,,
sleep,2024-02-28 09:53,2024-02-28 11:34,1:41,,,,
feed,2024-02-28 09:49,,,Formula,bottle,5oz,
sleep,2024-02-28 09:05,2024-02-28 09:51,0:46,,,,
feed,2024-02-28 08:46,,,Bottle,bottle,5oz,
meds,2024-02-28 08:39,2024-02-28 08:39,,1ml,Vitamin D,,
feed,2024-02-28 06:55,,,Formula,bottle,8oz,
sleep,2024-02-28 04:53,2024-02-28 07:52,2:59,,,,
feed,2024-02-28 02:29,,,Formula,bottle,3oz,
sleep,2024-02-28 02:25,2024-02-28 04:35,2:10,,,,
sleep,2024-02-27 23:52,2024-02-28 02:02,2:10,,,,
feed,2024-02-27 23:34,,,Formula,bottle,8oz,
sleep,2024-02-27 21:16,2024-02-27 23:39,2:23,,,,
feed,2024-02-27 19:27,,,Bottle,bottle,4oz,
feed,2024-02-27 18:59,,,Breast,,,
sleep,2024-02-27 18:26,2024-02-27 20:54,2:28,,,,
feed,2024-02-27 17:36,,,Formula,bottle,6oz,
sleep,2024-02-27 17:33,2024-02-27 19:00,1:27,,,,
sleep,2024-02-27 16:38,2024-02-27 18:03,1:25,,,,
feed,2024-02-27 15:58,,,Breast,,,
feed,2024-02-27 14:36,,,Formula,bottle,2oz,
sleep,2024-02-27 14:06,2024-02-27 15:03,0:57,,,,
sleep,2024-02-27 13:24,2024-02-27 15:04,1:40,,,,
sleep,2024-02-27 12:29,2024-02-27 14:22,1:53,,,,
sleep,2024-02-27 09:54,2024-02-27 11:47,1:53,,,,
feed,2024-02-27 09:52,,,Formula,bottle,6oz,
feed,2024-02-27 08:46,,,Bottle,bottle,4oz,
meds,2024-02-27 08:46,2024-02-27 08:46,,1ml,Vitamin D,,
feed,2024-02-27 05:19,,,Breast,,,
feed,2024-02-27 05:13,,,Bottle,bottle,5oz,
sleep,2024-02-27 01:01,2024-02-27 06:04,5:03,,,,
feed,2024-02-26 21:51,,,Formula,bottle,5oz,
sleep,2024-02-26 21:42,2024-02-27 00:31,2:49,,,,
sleep,2024-02-26 19:38,2024-02-26 21:24,1:46,,,,
sleep,2024-02-26 17:02,2024-02-26 17:42,0:40,,,,
sleep,2024-02-26 16:19,2024-02-26 16:58,0:39,,,,
feed,2024-02-26 16:07,,,Breast,,,
sleep,2024-02-26 15:54,2024-02-26 17:20,1:26,,,,
sleep,2024-02-26 15:41,2024-02-26 17:13,1:32,,,,
sleep,2024-02-26 14:27,2024-02-26 15:10,0:43,,,,
feed,2024-02-26 14:14,,,Bottle,bottle,4oz,
feed,2024-02-26 13:52,,,Formula,bottle,6oz,
feed,2024-02-26 12:12,,,Breast,,,
meds,2024-02-26 09:48,2024-02-26 09:48,,1ml,Vitamin D,,
feed,2024-02-26 09:19,,,Breast,,,
sleep,2024-02-26 08:03,2024-02-26 10:00,1:57,,,,
sleep,2024-02-26 06:27,2024-02-26 08:07,1:40,,,,
feed,2024-02-26 05:05,,,Breast,,,
sleep,2024-02-26 04:20,2024-02-26 06:03,1:43,,,,
feed,2024-02-26 03:05,,,Bottle,bottle,8oz,
feed,2024-02-26 02:57,,,Bottle,bottle,3oz,
feed,2024-02-26 02:21,,,Formula,bottle,5oz,
sleep,2024-02-26 01:17,2024-02-26 03:52,2:35,,,,
feed,2024-02-26 01:04,,,Formula,bottle,4oz,
sleep,2024-02-25 22:29,2024-02-26 00:56,2:27,,,,
sleep,2024-02-25 20:26,2024-02-25 22:04,1:38,,,,
feed,2024-02-25 18:22,,,Bottle,bottle,5oz,
feed,2024-02-25 18:05,,,Breast,,,
feed,2024-02-25 17:29,,,Formula,bottle,2oz,
feed,2024-02-25 15:54,,,Breast,,,
sleep,2024-02-25 13:01,2024-02-25 13:47,0:46,,,,
feed,2024-02-25 12:44,,,Formula,bottle,5oz,
feed,2024-02-25 11:58,,,Formula,bottle,3oz,
sleep,2024-02-25 11:37,2024-02-25 12:13,0:36,,,,
feed,2024-02-25 10:32,,,Formula,bottle,6oz,
meds,2024-02-25 09:40,2024-02-25 09:40,,1ml,Vitamin D,,
feed,2024-02-25 09:22,,,Breast,,,
sleep,2024-02-25 08:22,2024-02-25 09:25,1:03,,,,
sleep,2024-02-25 08:08,2024-02-25 09:00,0:52,,,,
feed,2024-02-25 06:58,,,Breast,,,
feed,2024-02-25 04:39,,,Breast,,,
feed,2024-02-25 03:21,,,Breast,,,
sleep,2024-02-25 01:39,2024-02-25 08:00,6:21,,,,
sleep,2024-02-24 23:22,2024-02-25 01:24,2:02,,,,
feed,2024-02-24 21:37,,,Formula,bottle,3oz,
sleep,2024-02-24 21:09,2024-02-24 22:55,1:46,,,,
feed,2024-02-24 19:28,,,Formula,bottle,8oz,
sleep,2024-02-24 18:50,2024-02-24 20:55,2:05,,,,
sleep,2024-02-24 17:13,2024-02-24 18:25,1:12,,,,
sleep,2024-02-24 16:13,2024-02-24 17:12,0:59,,,,
feed,2024-02-24 15:42,,,Breast,,,
feed,2024-02-24 12:35,,,Breast,,,
feed,2024-02-24 11:26,,,Bottle,bottle,5oz,
sleep,2024-02-24 11:08,2024-02-24 12:05,0:57,,,,
feed,2024-02-24 11:07,,,Bottle,bottle,4oz,
sleep,2024-02-24 09:53,2024-02-24 11:38,1:45,,,,
meds,2024-02-24 09:27,2024-02-24 09:27,,1ml,Vitamin D,,
feed,2024-02-24 07:25,,,Breast,,,
feed,2024-02-24 04:30,,,Formula,bottle,5oz,
sleep,2024-02-24 04:22,2024-02-24 07:05,2:43,,,,
feed,2024-02-24 03:37,,,Formula,bottle,6oz,
sleep,2024-02-24 01:26,2024-02-24 04:12,2:46,,,,
feed,2024-02-23 23:55,,,Bottle,bottle,8oz,
sleep,2024-02-23 22:04,2024-02-24 00:56,2:52,,,,
sleep,2024-02-23 18:54,2024-02-23 21:48,2:54,,,,
feed,2024-02-23 18:24,,,Bottle,bottle,4oz,
sleep,2024-02-23 15:28,2024-02-23 16:22,0:54,,,,
